GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Greedy,None,Clouds,Hard,100,1000,0.1,12,2,2,100,0.16,137,1,Max. iterations
Greedy,None,Clouds,Hard,100,1000,0.1,12,2,2,100,0.16,139,1,Max. iterations
Greedy,None,Clouds,Hard,100,1000,0.1,12,2,2,100,0.16,139,1,Max. iterations
Greedy,None,Clouds,Hard,100,1000,0.1,12,2,2,100,0.16,140,1,Max. iterations
Greedy,None,Clouds,Hard,100,1000,0.1,12,2,2,100,0.16,139,1,Max. iterations
Greedy,None,Clouds,Hard,100,1000,0.1,12,2,2,100,0.16,136,1,Max. iterations
Greedy,None,Clouds,Hard,100,1000,0.1,12,2,2,100,0.16,139,1,Max. iterations
Greedy,None,Clouds,Hard,100,1000,0.1,12,2,2,100,0.16,139,1,Max. iterations
Greedy,None,Clouds,Hard,100,1000,0.1,12,2,2,100,0.16,139,1,Max. iterations
Greedy,None,Clouds,Hard,100,1000,0.1,12,2,2,100,0.16,139,1,Max. iterations
Greedy,None,Clouds,Hard,100,2000,0.2,12,4,4,100,0.16,735,1,Max. iterations
Greedy,None,Clouds,Hard,100,2000,0.2,12,4,4,100,0.16,750,1,Max. iterations
Greedy,None,Clouds,Hard,100,2000,0.2,12,4,4,100,0.16,750,1,Max. iterations
Greedy,None,Clouds,Hard,100,2000,0.2,12,4,4,100,0.16,750,1,Max. iterations
Greedy,None,Clouds,Hard,100,2000,0.2,12,4,4,100,0.16,751,1,Max. iterations
Greedy,None,Clouds,Hard,100,2000,0.2,12,4,4,100,0.16,758,1,Max. iterations
Greedy,None,Clouds,Hard,100,2000,0.2,12,4,4,100,0.16,776,1,Max. iterations
Greedy,None,Clouds,Hard,100,2000,0.2,12,4,4,100,0.16,777,1,Max. iterations
Greedy,None,Clouds,Hard,100,2000,0.2,12,4,4,100,0.16,777,1,Max. iterations
Greedy,None,Clouds,Hard,100,2000,0.2,12,4,4,100,0.16,778,1,Max. iterations
Greedy,None,Clouds,Hard,100,5000,0.5,12,9,9,100,0.18,7223,1,Max. iterations
Greedy,None,Clouds,Hard,100,5000,0.5,12,9,9,100,0.18,7608,1,Max. iterations
Greedy,None,Clouds,Hard,100,5000,0.5,12,9,9,100,0.18,7611,1,Max. iterations
Greedy,None,Clouds,Hard,100,5000,0.5,12,9,9,100,0.18,7612,1,Max. iterations
Greedy,None,Clouds,Hard,100,5000,0.5,12,9,9,100,0.18,7613,1,Max. iterations
Greedy,None,Clouds,Hard,100,5000,0.5,12,10,10,100,0.16,7629,1,Max. iterations
Greedy,None,Clouds,Hard,100,5000,0.5,12,10,10,100,0.16,7631,1,Max. iterations
Greedy,None,Clouds,Hard,100,5000,0.5,12,10,10,100,0.16,8028,1,Max. iterations
Greedy,None,Clouds,Hard,100,5000,0.5,12,10,10,100,0.16,8032,1,Max. iterations
Greedy,None,Clouds,Hard,100,5000,0.5,12,10,10,100,0.16,8033,1,Max. iterations
Greedy,None,Clouds,Hard,100,10000,1,7,20,20,100,0.16,284348,6,Max. iterations
Greedy,None,Clouds,Hard,100,10000,1,7,20,20,100,0.16,285247,6,Max. iterations
Greedy,None,Clouds,Hard,100,10000,1,7,20,20,100,0.16,294531,6,Max. iterations
Greedy,None,Clouds,Hard,100,10000,1,7,20,20,100,0.16,294694,6,Max. iterations
Greedy,None,Clouds,Hard,100,10000,1,7,20,20,100,0.16,294898,6,Max. iterations
Greedy,None,Clouds,Hard,100,10000,1,7,21,21,100,0.15,263567,6,Max. iterations
Greedy,None,Clouds,Hard,100,10000,1,7,21,21,100,0.15,283115,6,Max. iterations
Greedy,None,Clouds,Hard,100,10000,1,7,21,21,100,0.15,283118,6,Max. iterations
Greedy,None,Clouds,Hard,100,10000,1,7,21,21,100,0.15,283158,6,Max. iterations
Greedy,None,Clouds,Hard,100,10000,1,7,21,21,100,0.15,283243,6,Max. iterations
Greedy,None,Clouds,Hard,100,20000,2,7,39,39,100,0.16,1865659,6,Max. iterations
Greedy,None,Clouds,Hard,100,20000,2,7,39,39,100,0.16,1884155,6,Max. iterations
Greedy,None,Clouds,Hard,100,20000,2,7,39,39,100,0.16,1922288,6,Max. iterations
Greedy,None,Clouds,Hard,100,20000,2,7,39,39,100,0.16,1932295,6,Max. iterations
Greedy,None,Clouds,Hard,100,20000,2,7,40,40,100,0.16,1782048,6,Max. iterations
Greedy,None,Clouds,Hard,100,20000,2,7,40,40,100,0.16,1783613,6,Max. iterations
Greedy,None,Clouds,Hard,100,20000,2,7,40,40,100,0.16,1895034,6,Max. iterations
Greedy,None,Clouds,Hard,100,20000,2,7,40,40,100,0.16,1896784,6,Max. iterations
Greedy,None,Clouds,Hard,100,20000,2,7,40,40,100,0.16,1899529,6,Max. iterations
Greedy,None,Clouds,Hard,1000,1000,0,12,23,6,100,0.02,468,1,Max. iterations
Greedy,None,Clouds,Hard,1000,1000,0,12,23,6,100,0.02,469,1,Max. iterations
Greedy,None,Clouds,Hard,1000,1000,0,12,23,6,100,0.02,489,1,Max. iterations
Greedy,None,Clouds,Hard,1000,1000,0,12,23,6,100,0.02,490,1,Max. iterations
Greedy,None,Clouds,Hard,1000,1000,0,12,23,6,100,0.02,491,1,Max. iterations
Greedy,None,Clouds,Hard,1000,1000,0,12,23,6,100,0.02,467,1,Max. iterations
Greedy,None,Clouds,Hard,1000,1000,0,12,23,6,100,0.02,492,1,Max. iterations
Greedy,None,Clouds,Hard,1000,1000,0,12,23,6,100,0.02,492,1,Max. iterations
Greedy,None,Clouds,Hard,1000,1000,0,12,23,6,100,0.02,494,1,Max. iterations
Greedy,None,Clouds,Hard,1000,1000,0,12,23,6,100,0.02,495,1,Max. iterations
Greedy,None,Clouds,Hard,1000,2000,0,12,27,7,100,0.03,1955,1,Max. iterations
Greedy,None,Clouds,Hard,1000,2000,0,12,27,7,100,0.03,2137,1,Max. iterations
Greedy,None,Clouds,Hard,1000,2000,0,12,27,7,100,0.03,2140,1,Max. iterations
Greedy,None,Clouds,Hard,1000,2000,0,12,27,7,100,0.03,2142,1,Max. iterations
Greedy,None,Clouds,Hard,1000,2000,0,12,27,7,100,0.03,2158,1,Max. iterations
Greedy,None,Clouds,Hard,1000,2000,0,12,27,6,100,0.03,2295,1,Max. iterations
Greedy,None,Clouds,Hard,1000,2000,0,12,27,6,100,0.03,2331,1,Max. iterations
Greedy,None,Clouds,Hard,1000,2000,0,12,27,6,100,0.03,2334,1,Max. iterations
Greedy,None,Clouds,Hard,1000,2000,0,12,27,6,100,0.03,2336,1,Max. iterations
Greedy,None,Clouds,Hard,1000,2000,0,12,27,6,100,0.03,2397,1,Max. iterations
Greedy,None,Clouds,Hard,1000,5000,0,12,40,8,100,0.05,19028,1,Max. iterations
Greedy,None,Clouds,Hard,1000,5000,0,12,40,8,100,0.05,19036,1,Max. iterations
Greedy,None,Clouds,Hard,1000,5000,0,12,40,8,100,0.05,19038,1,Max. iterations
Greedy,None,Clouds,Hard,1000,5000,0,12,40,8,100,0.05,19028,1,Max. iterations
Greedy,None,Clouds,Hard,1000,5000,0,12,40,8,100,0.05,19043,1,Max. iterations
Greedy,None,Clouds,Hard,1000,5000,0,12,37,9,100,0.05,17205,1,Max. iterations
Greedy,None,Clouds,Hard,1000,5000,0,12,37,9,100,0.05,17209,1,Max. iterations
Greedy,None,Clouds,Hard,1000,5000,0,12,37,9,100,0.05,17756,1,Max. iterations
Greedy,None,Clouds,Hard,1000,5000,0,12,37,9,100,0.05,17763,1,Max. iterations
Greedy,None,Clouds,Hard,1000,5000,0,12,37,9,100,0.05,17767,1,Max. iterations
Greedy,None,Clouds,Hard,1000,10000,0.01,12,45,8,100,0.09,80189,1,Max. iterations
Greedy,None,Clouds,Hard,1000,10000,0.01,12,45,8,100,0.09,80195,1,Max. iterations
Greedy,None,Clouds,Hard,1000,10000,0.01,12,45,8,100,0.09,84708,1,Max. iterations
Greedy,None,Clouds,Hard,1000,10000,0.01,12,45,8,100,0.09,84754,1,Max. iterations
Greedy,None,Clouds,Hard,1000,10000,0.01,12,45,8,100,0.09,84765,1,Max. iterations
Greedy,None,Clouds,Hard,1000,10000,0.01,12,Not Solved,9,99.99,0.11,Not Solved,1,Max. iterations
Greedy,None,Clouds,Hard,1000,10000,0.01,12,Not Solved,9,99.99,0.11,Not Solved,1,Max. iterations
Greedy,None,Clouds,Hard,1000,10000,0.01,12,Not Solved,9,99.99,0.11,Not Solved,1,Max. iterations
Greedy,None,Clouds,Hard,1000,10000,0.01,12,Not Solved,9,99.99,0.11,Not Solved,1,Max. iterations
Greedy,None,Clouds,Hard,1000,10000,0.01,12,Not Solved,9,99.99,0.11,Not Solved,1,Max. iterations
Greedy,None,Clouds,Hard,1000,20000,0.02,12,57,11,100,0.13,389547,1,Max. iterations
Greedy,None,Clouds,Hard,1000,20000,0.02,12,57,11,100,0.13,419819,1,Max. iterations
Greedy,None,Clouds,Hard,1000,20000,0.02,12,57,11,100,0.13,420038,1,Max. iterations
Greedy,None,Clouds,Hard,1000,20000,0.02,12,57,11,100,0.13,421600,1,Max. iterations
Greedy,None,Clouds,Hard,1000,20000,0.02,9,Not Solved,15,99.98,0.15,Not Solved,4,Max. iterations
