GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Greedy,None,Uniform,Hard,100,1000,0.1,12,2,2,100,0.18,145,1,Max. iterations
Greedy,None,Uniform,Hard,100,1000,0.1,12,2,2,100,0.18,145,1,Max. iterations
Greedy,None,Uniform,Hard,100,1000,0.1,12,2,2,100,0.18,145,1,Max. iterations
Greedy,None,Uniform,Hard,100,1000,0.1,12,2,2,100,0.18,145,1,Max. iterations
Greedy,None,Uniform,Hard,100,1000,0.1,12,2,2,100,0.18,146,1,Max. iterations
Greedy,None,Uniform,Hard,100,1000,0.1,12,2,2,100,0.18,144,1,Max. iterations
Greedy,None,Uniform,Hard,100,1000,0.1,12,2,2,100,0.18,144,1,Max. iterations
Greedy,None,Uniform,Hard,100,1000,0.1,12,2,2,100,0.18,144,1,Max. iterations
Greedy,None,Uniform,Hard,100,1000,0.1,12,2,2,100,0.18,144,1,Max. iterations
Greedy,None,Uniform,Hard,100,1000,0.1,12,2,2,100,0.18,144,1,Max. iterations
Greedy,None,Uniform,Hard,100,2000,0.2,12,3,3,100,0.26,657,1,Max. iterations
Greedy,None,Uniform,Hard,100,2000,0.2,12,3,3,100,0.26,657,1,Max. iterations
Greedy,None,Uniform,Hard,100,2000,0.2,12,3,3,100,0.26,671,1,Max. iterations
Greedy,None,Uniform,Hard,100,2000,0.2,12,3,3,100,0.26,671,1,Max. iterations
Greedy,None,Uniform,Hard,100,2000,0.2,12,3,3,100,0.26,671,1,Max. iterations
Greedy,None,Uniform,Hard,100,2000,0.2,12,3,3,100,0.25,608,1,Max. iterations
Greedy,None,Uniform,Hard,100,2000,0.2,12,3,3,100,0.25,664,1,Max. iterations
Greedy,None,Uniform,Hard,100,2000,0.2,12,3,3,100,0.25,664,1,Max. iterations
Greedy,None,Uniform,Hard,100,2000,0.2,12,3,3,100,0.25,664,1,Max. iterations
Greedy,None,Uniform,Hard,100,2000,0.2,12,3,3,100,0.25,664,1,Max. iterations
Greedy,None,Uniform,Hard,100,5000,0.5,12,8,8,100,0.22,5966,1,Max. iterations
Greedy,None,Uniform,Hard,100,5000,0.5,12,8,8,100,0.22,6068,1,Max. iterations
Greedy,None,Uniform,Hard,100,5000,0.5,12,8,8,100,0.22,6069,1,Max. iterations
Greedy,None,Uniform,Hard,100,5000,0.5,12,8,8,100,0.22,6113,1,Max. iterations
Greedy,None,Uniform,Hard,100,5000,0.5,12,8,8,100,0.22,6110,1,Max. iterations
Greedy,None,Uniform,Hard,100,5000,0.5,12,7,7,100,0.28,6651,1,Max. iterations
Greedy,None,Uniform,Hard,100,5000,0.5,12,7,7,100,0.28,6656,1,Max. iterations
Greedy,None,Uniform,Hard,100,5000,0.5,12,7,7,100,0.28,6658,1,Max. iterations
Greedy,None,Uniform,Hard,100,5000,0.5,12,7,7,100,0.28,6660,1,Max. iterations
Greedy,None,Uniform,Hard,100,5000,0.5,12,7,7,100,0.28,6688,1,Max. iterations
Greedy,None,Uniform,Hard,100,10000,1,12,13,13,100,0.31,37121,1,Max. iterations
Greedy,None,Uniform,Hard,100,10000,1,12,13,13,100,0.31,39273,1,Max. iterations
Greedy,None,Uniform,Hard,100,10000,1,12,13,13,100,0.31,39292,1,Max. iterations
Greedy,None,Uniform,Hard,100,10000,1,12,13,13,100,0.31,39321,1,Max. iterations
Greedy,None,Uniform,Hard,100,10000,1,12,13,13,100,0.31,39325,1,Max. iterations
Greedy,None,Uniform,Hard,100,10000,1,12,13,13,100,0.31,40333,1,Max. iterations
Greedy,None,Uniform,Hard,100,10000,1,12,13,13,100,0.31,40330,1,Max. iterations
Greedy,None,Uniform,Hard,100,10000,1,12,13,13,100,0.31,40368,1,Max. iterations
Greedy,None,Uniform,Hard,100,10000,1,12,13,13,100,0.31,40392,1,Max. iterations
Greedy,None,Uniform,Hard,100,10000,1,12,13,13,100,0.31,40565,1,Max. iterations
Greedy,None,Uniform,Hard,100,20000,2,7,Not Solved,41,99.75,0.15,Not Solved,6,Max. iterations
Greedy,None,Uniform,Hard,100,20000,2,7,Not Solved,41,99.75,0.15,Not Solved,6,Max. iterations
Greedy,None,Uniform,Hard,100,20000,2,7,Not Solved,41,99.75,0.15,Not Solved,6,Max. iterations
Greedy,None,Uniform,Hard,100,20000,2,7,Not Solved,41,99.75,0.15,Not Solved,6,Max. iterations
Greedy,None,Uniform,Hard,100,20000,2,7,Not Solved,41,99.75,0.15,Not Solved,6,Max. iterations
