crossover,mutation,crossover type,optimizer,instance file,free objective,gw,e,uf
0.3,0.05,generic_cross,MOGA2WS,instancia.dat,GW,2,108,0.0150754
0.3,0.05,custom_cross,MOGA2WS,instancia.dat,GW,2,112,0.0302015
0.3,0.05,generic_cross,MOGA2WS,instancia.dat,E,4,56,0.0100377
0.3,0.05,custom_cross,MOGA2WS,instancia.dat,E,6,56,0.00502513
0.3,0.05,generic_cross,MOGA2WS,instancia.dat,UF,6,56,0.00502513
0.3,0.05,custom_cross,MOGA2WS,instancia.dat,UF,6,58,0.00502513
0.3,0.1,generic_cross,MOGA2WS,instancia.dat,GW,2,136,0.0453784
0.3,0.1,custom_cross,MOGA2WS,instancia.dat,GW,2,120,0.0302015
0.3,0.1,generic_cross,MOGA2WS,instancia.dat,E,6,56,0.00502513
0.3,0.1,custom_cross,MOGA2WS,instancia.dat,E,7,46,0.00502513
0.3,0.1,generic_cross,MOGA2WS,instancia.dat,UF,6,56,0.00502513
0.3,0.1,custom_cross,MOGA2WS,instancia.dat,UF,6,58,0.00502513
0.3,0.15,generic_cross,MOGA2WS,instancia.dat,GW,2,128,0.0403533
0.3,0.15,custom_cross,MOGA2WS,instancia.dat,GW,2,108,0.0150754
0.3,0.15,generic_cross,MOGA2WS,instancia.dat,E,4,52,0.00753139
0.3,0.15,custom_cross,MOGA2WS,instancia.dat,E,6,56,0.00502513
0.3,0.15,generic_cross,MOGA2WS,instancia.dat,UF,6,58,0.00502513
0.3,0.15,custom_cross,MOGA2WS,instancia.dat,UF,6,58,0.00502513
0.3,0.2,generic_cross,MOGA2WS,instancia.dat,GW,2,136,0.0453784
0.3,0.2,custom_cross,MOGA2WS,instancia.dat,GW,2,108,0.0150754
0.3,0.2,generic_cross,MOGA2WS,instancia.dat,E,6,52,0.00502513
0.3,0.2,custom_cross,MOGA2WS,instancia.dat,E,7,52,0.00502513
0.3,0.2,generic_cross,MOGA2WS,instancia.dat,UF,6,58,0.00502513
0.3,0.2,custom_cross,MOGA2WS,instancia.dat,UF,6,56,0.00502513
0.5,0.05,generic_cross,MOGA2WS,instancia.dat,GW,2,128,0.0403533
0.5,0.05,custom_cross,MOGA2WS,instancia.dat,GW,2,108,0.0150754
0.5,0.05,generic_cross,MOGA2WS,instancia.dat,E,6,56,0.00502513
0.5,0.05,custom_cross,MOGA2WS,instancia.dat,E,5,52,0.00753139
0.5,0.05,generic_cross,MOGA2WS,instancia.dat,UF,6,58,0.00502513
0.5,0.05,custom_cross,MOGA2WS,instancia.dat,UF,6,56,0.00502513
0.5,0.1,generic_cross,MOGA2WS,instancia.dat,GW,2,120,0.0302015
0.5,0.1,custom_cross,MOGA2WS,instancia.dat,GW,2,106,0.0352774
0.5,0.1,generic_cross,MOGA2WS,instancia.dat,E,4,52,0.00753139
0.5,0.1,custom_cross,MOGA2WS,instancia.dat,E,5,46,0.00502513
0.5,0.1,generic_cross,MOGA2WS,instancia.dat,UF,6,58,0.00502513
