crossover,mutation,crossover type,optimizer,instance file,free objective,gw,e,uf
0.3,0.05,generic_cross,MOGA2WS,generada.dat,GW,5,1192,0.119475
0.3,0.05,custom_cross,MOGA2WS,generada.dat,GW,5,1192,0.119475
0.3,0.05,generic_cross,MOGA2WS,generada.dat,E,18,1146,0.0251014
0.3,0.05,custom_cross,MOGA2WS,generada.dat,E,16,1124,0.0301366
0.3,0.05,generic_cross,MOGA2WS,generada.dat,UF,24,1568,0.0150532
0.3,0.05,custom_cross,MOGA2WS,generada.dat,UF,28,1918,0.0150673
0.3,0.1,generic_cross,MOGA2WS,generada.dat,GW,5,1184,0.069248
0.3,0.1,custom_cross,MOGA2WS,generada.dat,GW,5,1192,0.119475
0.3,0.1,generic_cross,MOGA2WS,generada.dat,E,15,1186,0.0351537
0.3,0.1,custom_cross,MOGA2WS,generada.dat,E,15,1097,0.0381426
0.3,0.1,generic_cross,MOGA2WS,generada.dat,UF,29,2136,0.016129
0.3,0.1,custom_cross,MOGA2WS,generada.dat,UF,27,1746,0.0140502
0.3,0.15,generic_cross,MOGA2WS,generada.dat,GW,5,1184,0.069248
0.3,0.15,custom_cross,MOGA2WS,generada.dat,GW,5,1184,0.069248
0.3,0.15,generic_cross,MOGA2WS,generada.dat,E,7,1176,0.105427
0.3,0.15,custom_cross,MOGA2WS,generada.dat,E,18,1132,0.0461828
0.3,0.15,generic_cross,MOGA2WS,generada.dat,UF,28,1866,0.016129
0.3,0.15,custom_cross,MOGA2WS,generada.dat,UF,28,1714,0.0140563
0.3,0.2,generic_cross,MOGA2WS,generada.dat,GW,5,1192,0.119475
0.3,0.2,custom_cross,MOGA2WS,generada.dat,GW,5,1192,0.119475
0.3,0.2,generic_cross,MOGA2WS,generada.dat,E,13,1172,0.0471838
0.3,0.2,custom_cross,MOGA2WS,generada.dat,E,18,1170,0.0511918
0.3,0.2,generic_cross,MOGA2WS,generada.dat,UF,29,2018,0.0160683
0.3,0.2,custom_cross,MOGA2WS,generada.dat,UF,27,1938,0.0181655
0.5,0.05,generic_cross,MOGA2WS,generada.dat,GW,5,1184,0.069248
0.5,0.05,custom_cross,MOGA2WS,generada.dat,GW,5,1184,0.069248
0.5,0.05,generic_cross,MOGA2WS,generada.dat,E,25,1078,0.0150613
0.5,0.05,custom_cross,MOGA2WS,generada.dat,E,21,1130,0.0461767
0.5,0.05,generic_cross,MOGA2WS,generada.dat,UF,29,1882,0.0141171
0.5,0.05,custom_cross,MOGA2WS,generada.dat,UF,25,1454,0.0120381
0.5,0.1,generic_cross,MOGA2WS,generada.dat,GW,5,1184,0.069248
0.5,0.1,custom_cross,MOGA2WS,generada.dat,GW,5,1192,0.119475
0.5,0.1,generic_cross,MOGA2WS,generada.dat,E,20,1060,0.0311296
0.5,0.1,custom_cross,MOGA2WS,generada.dat,E,12,1162,0.0491737
0.5,0.1,generic_cross,MOGA2WS,generada.dat,UF,29,1825,0.012105
0.5,0.1,custom_cross,MOGA2WS,generada.dat,UF,29,1810,0.0140583
0.5,0.15,generic_cross,MOGA2WS,generada.dat,GW,6,1248,0.110428
0.5,0.15,custom_cross,MOGA2WS,generada.dat,GW,5,1184,0.069248
0.5,0.15,generic_cross,MOGA2WS,generada.dat,E,13,1100,0.053218
0.5,0.15,custom_cross,MOGA2WS,generada.dat,E,15,1163,0.0793204
0.5,0.15,generic_cross,MOGA2WS,generada.dat,UF,29,2092,0.0181655
0.5,0.15,custom_cross,MOGA2WS,generada.dat,UF,29,1938,0.0141171
0.5,0.2,generic_cross,MOGA2WS,generada.dat,GW,5,1192,0.119475
0.5,0.2,custom_cross,MOGA2WS,generada.dat,GW,5,1184,0.069248
0.5,0.2,generic_cross,MOGA2WS,generada.dat,E,21,1101,0.0371557
0.5,0.2,custom_cross,MOGA2WS,generada.dat,E,18,1145,0.0612501
0.5,0.2,generic_cross,MOGA2WS,generada.dat,UF,27,1948,0.0150754
0.5,0.2,custom_cross,MOGA2WS,generada.dat,UF,28,2008,0.016129
0.7,0.05,generic_cross,MOGA2WS,generada.dat,GW,5,1184,0.069248
0.7,0.05,custom_cross,MOGA2WS,generada.dat,GW,5,1184,0.069248
0.7,0.05,generic_cross,MOGA2WS,generada.dat,E,17,1146,0.0341426
0.7,0.05,custom_cross,MOGA2WS,generada.dat,E,16,1154,0.0411375
