Instance Name,Alpha,Beta,Gamma,Solver,Execution Time (ms),Cost,Feasible,GW Used,Energy,UF
s_u_100_10_1000.dat,1,0.1,7.8,GA,13164,135.411,Yes,10,1252,0.0271055
s_u_500_10_1000.dat,1,0.1,7.8,GA,59433,674.228,Yes,10,6631,0.144641
s_u_1000_10_1000.dat,1,0.1,7.8,GA,61178,1372.55,Yes,10,13608,0.224936
s_u_1500_20_1000.dat,1,0.1,7.8,GA,61907,2097.53,Yes,10,20844,0.401526
m_u_100_10_1000.dat,1,0.1,7.8,GA,10631,130.335,Yes,10,1198,0.0686301
m_u_500_10_1000.dat,1,0.1,7.8,GA,61561,605.52,Yes,10,5942,0.169242
m_u_1000_10_1000.dat,1,0.1,7.8,GA,61548,1253.69,Yes,10,12400,0.473473
m_u_1500_20_1000.dat,1,0.1,7.8,GA,61127,1916.53,Yes,10,19015,0.645166
h_u_100_10_1000.dat,1,0.1,7.8,GA,12774,77.7131,Yes,9,683,0.0529606
h_u_500_10_1000.dat,1,0.1,7.8,GA,53318,363.68,Yes,10,3512,0.317903
h_u_1000_10_1000.dat,1,0.1,7.8,GA,62191,686.603,Yes,10,6720,0.590072
h_u_1500_10_1000.dat,1,0.1,7.8,GA,61929,1132.32,Yes,10,11148,0.963707
m_n_100_10_1000.dat,1,0.1,7.8,GA,12328,82.0801,Yes,10,719,0.0230934
m_n_500_10_1000.dat,1,0.1,7.8,GA,61619,414.062,Yes,10,4032,0.110476
m_n_1000_10_1000.dat,1,0.1,7.8,GA,61537,889.517,Yes,10,8777,0.232974
m_n_1500_10_1000.dat,1,0.1,7.8,GA,61679,1296.6,Yes,10,12833,0.422928
h_n_100_10_1000.dat,1,0.1,7.8,GA,12803,50.6951,Yes,10,404,0.0378344
h_n_500_10_1000.dat,1,0.1,7.8,GA,54427,234.432,Yes,10,2228,0.209247
h_n_1000_10_1000.dat,1,0.1,7.8,GA,61989,497.015,Yes,10,4832,0.489062
h_n_1500_10_1000.dat,1,0.1,7.8,GA,61116,730.989,Yes,10,7156,0.690955
s_u_100_10_1000.dat,1,0.1,7.8,GA - Warm start,9223,59.9907,Yes,5,546,0.0500937
s_u_500_10_1000.dat,1,0.1,7.8,GA - Warm start,46617,473.524,Yes,1,4690,0.451744
s_u_1000_10_1000.dat,1,0.1,7.8,GA - Warm start,62194,626.496,Yes,6,6168,0.473897
s_u_1500_20_1000.dat,1,0.1,7.8,GA - Warm start,62242,932.3,Yes,7,9199,0.692359
m_u_100_10_1000.dat,1,0.1,7.8,GA - Warm start,9384,58.8698,Yes,5,534,0.0602371
m_u_500_10_1000.dat,1,0.1,7.8,GA - Warm start,46389,477.075,Yes,1,4690,0.907004
m_u_1000_10_1000.dat,1,0.1,7.8,GA - Warm start,62040,840.983,Yes,7,8287,0.677318
m_u_1500_20_1000.dat,1,0.1,7.8,GA - Warm start,62541,982.032,Yes,10,9646,0.952864
h_u_100_10_1000.dat,1,0.1,7.8,GA - Warm start,9393,73.7231,Yes,8,647,0.131161
h_u_500_10_1000.dat,1,0.1,7.8,GA - Warm start,51107,368.652,Yes,10,3546,0.519517
h_u_1000_10_1000.dat,1,0.1,7.8,GA - Warm start,61074,522.1,Yes,10,5043,1
h_u_1500_10_1000.dat,1,0.1,7.8,GA - Warm start,61738,838.1,Yes,9,8213,1
m_n_100_10_1000.dat,1,0.1,7.8,GA - Warm start,9247,46.7792,Yes,2,442,0.074257
m_n_500_10_1000.dat,1,0.1,7.8,GA - Warm start,46966,228.348,Yes,2,2232,0.403545
m_n_1000_10_1000.dat,1,0.1,7.8,GA - Warm start,61018,438.769,Yes,3,4301,0.726776
m_n_1500_10_1000.dat,1,0.1,7.8,GA - Warm start,62042,689.198,Yes,4,6774,0.999798
h_n_100_10_1000.dat,1,0.1,7.8,GA - Warm start,9358,46.455,Yes,7,380,0.186539
h_n_500_10_1000.dat,1,0.1,7.8,GA - Warm start,46557,209.583,Yes,8,1938,0.997769
h_n_1000_10_1000.dat,1,0.1,7.8,GA - Warm start,62086,413.994,Yes,9,3972,0.999239
h_n_1500_10_1000.dat,1,0.1,7.8,GA - Warm start,61434,594.7,Yes,8,5789,1
