Instance Name,Alpha,Beta,Gamma,Solver,Execution Time (ms),Cost,Feasible,GW Used,Energy,UF
ihu100_5_100.dat,1,0.01,1,Greedy GW Minimization,0,2.35538,Yes,1,120,0.155384
ihu100_5_100.dat,1,0.1,1,Greedy GW Minimization,0,13.1554,Yes,1,120,0.155384
ihu100_5_100.dat,10,0.01,1,Greedy GW Minimization,0,11.3554,Yes,1,120,0.155384
ihu100_5_100.dat,1,0.01,100,Greedy GW Minimization,0,17.7384,Yes,1,120,0.155384
ihu100_5_100.dat,10,0.01,100,Greedy GW Minimization,0,26.7384,Yes,1,120,0.155384
ihu100_5_100.dat,1,0.1,100,Greedy GW Minimization,0,28.5384,Yes,1,120,0.155384
ihu100_5_100.dat,1,0.01,1,Greedy E Minimization,0,2.29168,Yes,1,112,0.171677
ihu100_5_100.dat,1,0.1,1,Greedy E Minimization,0,12.3717,Yes,1,112,0.171677
ihu100_5_100.dat,10,0.01,1,Greedy E Minimization,0,11.2917,Yes,1,112,0.171677
ihu100_5_100.dat,1,0.01,100,Greedy E Minimization,0,19.2877,Yes,1,112,0.171677
ihu100_5_100.dat,10,0.01,100,Greedy E Minimization,0,28.2877,Yes,1,112,0.171677
ihu100_5_100.dat,1,0.1,100,Greedy E Minimization,0,29.3677,Yes,1,112,0.171677
ihu100_5_100.dat,1,0.01,1,Greedy UF Minimization,0,2.29168,Yes,1,112,0.171677
ihu100_5_100.dat,1,0.1,1,Greedy UF Minimization,0,12.3717,Yes,1,112,0.171677
ihu100_5_100.dat,10,0.01,1,Greedy UF Minimization,0,11.2917,Yes,1,112,0.171677
ihu100_5_100.dat,1,0.01,100,Greedy UF Minimization,0,19.2877,Yes,1,112,0.171677
ihu100_5_100.dat,10,0.01,100,Greedy UF Minimization,0,28.2877,Yes,1,112,0.171677
ihu100_5_100.dat,1,0.1,100,Greedy UF Minimization,0,29.3677,Yes,1,112,0.171677
ihu100_5_100.dat,1,0.01,1,Improved Random Search,11836,6.86906,Yes,5,181,0.0590627
ihu100_5_100.dat,1,0.1,1,Improved Random Search,11880,23.4439,Yes,5,184,0.0438699
ihu100_5_100.dat,10,0.01,1,Improved Random Search,11941,51.8164,Yes,5,178,0.0364148
ihu100_5_100.dat,1,0.01,100,Improved Random Search,11928,10.0256,Yes,5,208,0.0294561
ihu100_5_100.dat,10,0.01,100,Improved Random Search,11867,54.9106,Yes,5,202,0.0289056
ihu100_5_100.dat,1,0.1,100,Improved Random Search,11851,27.1185,Yes,5,186,0.0351854
