Instance Name,Alpha,Beta,Gamma,Solver,Execution Time (ms),Cost,Feasible,GW Used,Energy,UF
ihu100_10_100.dat,1,0.1,1,Improved Random Search,151628,27.6289,Yes,10,176,0.0288961
ihu100_10_100.dat,1,0.05,1,Improved Random Search,151559,18.7402,Yes,10,174,0.0401822
ihu100_10_100.dat,1,0.01,1,Improved Random Search,153887,10.9777,Yes,9,194,0.037679
ihu100_10_100.dat,1,0.1,1,Improved Random Search,151299,27.4276,Yes,10,174,0.027613
ihu100_10_100.dat,1,0.1,1,Improved Random Search,151537,27.6251,Yes,10,176,0.0251351
ihu100_10_100.dat,1,0.1,1,Improved Random Search,156143,27.7314,Yes,10,177,0.0313992
ihu100_10_100.dat,1,0.05,1,Improved Random Search,155741,18.6289,Yes,10,172,0.0289056
ihu100_10_100.dat,1,0.05,1,Improved Random Search,156133,18.489,Yes,9,189,0.0389558
ihu100_10_100.dat,1,0.05,1,Improved Random Search,157118,18.6814,Yes,9,193,0.0314244
ihu100_10_100.dat,1,0.05,50,Improved Random Search,153990,20.2423,Yes,10,186,0.0188458
ihu100_10_100.dat,1,0.01,1,Improved Random Search,151983,11.0564,Yes,9,202,0.0364369
ihu100_10_100.dat,1,0.01,1,Improved Random Search,151921,11.0202,Yes,9,198,0.04022
ihu100_10_100.dat,1,0.01,1,Improved Random Search,155622,11.0289,Yes,9,200,0.0289024
ihu100_10_100.dat,1,0.01,50,Improved Random Search,153401,12.1744,Yes,9,217,0.0200879
ihu100_10_100.dat,1,0.1,50,Improved Random Search,155560,29.1189,Yes,10,178,0.0263772
ihu100_10_100.dat,1,0.1,50,Improved Random Search,155752,28.4934,Yes,10,173,0.0238678
ihu100_10_100.dat,1,0.1,50,Improved Random Search,155697,28.8314,Yes,10,177,0.0226289
ihu100_10_100.dat,1,0.1,100,Improved Random Search,154397,30.111,Yes,10,176,0.0251099
ihu100_10_100.dat,1,0.05,50,Improved Random Search,155289,20.0674,Yes,10,175,0.0263489
ihu100_10_100.dat,1,0.05,50,Improved Random Search,151478,19.9721,Yes,10,175,0.0244428
ihu100_10_100.dat,1,0.01,50,Improved Random Search,151187,12.1368,Yes,9,207,0.0213363
ihu100_10_100.dat,1,0.05,100,Improved Random Search,155885,21.0358,Yes,10,173,0.0238584
ihu100_10_100.dat,1,0.01,50,Improved Random Search,155192,12.2411,Yes,9,211,0.0226226
ihu100_10_100.dat,1,0.01,50,Improved Random Search,152048,12.3108,Yes,9,218,0.0226163
ihu100_10_100.dat,1,0.1,100,Improved Random Search,152251,29.769,Yes,10,172,0.0256896
ihu100_10_100.dat,1,0.01,100,Improved Random Search,156543,13.4716,Yes,9,221,0.0226162
ihu100_10_100.dat,1,0.1,100,Improved Random Search,151229,29.2101,Yes,10,172,0.0201005
ihu100_10_100.dat,1,0.05,100,Improved Random Search,155160,20.8833,Yes,10,175,0.0213332
ihu100_10_100.dat,1,0.05,100,Improved Random Search,151260,21.0597,Yes,10,181,0.0200974
ihu100_10_100.dat,10,0.1,1,Improved Random Search,155200,110.23,Yes,9,202,0.0301697
ihu100_10_100.dat,1,0.05,100,Improved Random Search,151860,21.1579,Yes,10,188,0.0175785
ihu100_10_100.dat,1,0.01,100,Improved Random Search,156012,13.4101,Yes,9,240,0.0201005
ihu100_10_100.dat,1,0.01,100,Improved Random Search,151570,13.0946,Yes,9,221,0.0188458
