Metodo,Dist,RT,Escenc,Mapa,ED,FO,G,E,U,T,TO
CPLEX,CLOUD,HARD,SI,100,20,9.63,4,97,0.0202,0.08,
CPLEX,CLOUD,HARD,SI,100,20,9.63,4,97,0.0202,0.08,
CPLEX,CLOUD,HARD,SI,100,20,11.64,6,101,0.0151,0.05,
CPLEX,CLOUD,HARD,SI,100,20,10.04,5,87,0.0176,0.05,
CPLEX,CLOUD,HARD,SI,100,20,10.04,5,87,0.0176,0.05,
CPLEX,CLOUD,HARD,NO,100,20,3.18,1,24,0.0251,1.42,
CPLEX,CLOUD,HARD,NO,100,20,3.18,1,24,0.0252,1.47,
CPLEX,CLOUD,HARD,NO,100,20,3.22,1,24,0.0263,1.44,
CPLEX,CLOUD,HARD,NO,100,20,3.22,1,24,0.0263,1.3,
CPLEX,CLOUD,HARD,NO,100,20,3.54,1,25,0.0332,1.14,
HEURISTICA,CLOUD,HARD,SI,100,20,11.02,4,109,0.0404,0.001,
HEURISTICA,CLOUD,HARD,SI,100,20,10.92,4,107,0.0404,0.001,
HEURISTICA,CLOUD,HARD,SI,100,20,12.44,6,113,0.0202,0.001,
HEURISTICA,CLOUD,HARD,SI,100,20,10.34,5,91,0.0202,0.001,
HEURISTICA,CLOUD,HARD,SI,100,20,10.54,5,95,0.0202,0.001,
HEURISTICA,CLOUD,HARD,NO,100,20,3.34,1,24,0.0294,0.003,
HEURISTICA,CLOUD,HARD,NO,100,20,3.35,1,27,0.0257,0.003,
HEURISTICA,CLOUD,HARD,NO,100,20,3.23,1,24,0.0263,0.003,
HEURISTICA,CLOUD,HARD,NO,100,20,3.44,1,21,0.0357,0.003,
HEURISTICA,CLOUD,HARD,NO,100,20,3.88,1,20,0.0482,0.003,
CPLEX,CLOUD,HARD,SI,100,50,15.34,11,178,0.0504,0.2,
CPLEX,CLOUD,HARD,SI,100,50,14.73,11,170,0.0214,0.29,
CPLEX,CLOUD,HARD,SI,100,50,13.69,10,161,0.0302,0.24,
CPLEX,CLOUD,HARD,SI,100,50,16.07,13,141,0.0163,0.28,
CPLEX,CLOUD,HARD,SI,100,50,12.49,8,207,0.0227,0.21,
CPLEX,CLOUD,HARD,NO,100,50,3.18,1,60,0.0626,6.47,
CPLEX,CLOUD,HARD,NO,100,50,2.97,1,58,0.052,10.85,
CPLEX,CLOUD,HARD,NO,100,50,3.22,1,60,0.0658,9.83,
CPLEX,CLOUD,HARD,NO,100,50,3.24,1,60,0.0664,13.35,
CPLEX,CLOUD,HARD,NO,100,50,3.18,1,62,0.0603,7.31,
HEURISTICA,CLOUD,HARD,SI,100,50,17.2,12,213,0.0605,0.004,
HEURISTICA,CLOUD,HARD,SI,100,50,18.05,13,225,0.0353,0.005,
HEURISTICA,CLOUD,HARD,SI,100,50,15.79,11,212,0.0352,0.005,
HEURISTICA,CLOUD,HARD,SI,100,50,18.44,13,225,0.0605,0.004,
HEURISTICA,CLOUD,HARD,SI,100,50,15.31,10,226,0.0504,0.004,
HEURISTICA,CLOUD,HARD,NO,100,50,3.44,1,50,0.0921,0.013,
HEURISTICA,CLOUD,HARD,NO,100,50,3.1,1,64,0.0526,0.013,
HEURISTICA,CLOUD,HARD,NO,100,50,3.43,1,58,0.0814,0.012,
HEURISTICA,CLOUD,HARD,NO,100,50,3.43,1,58,0.0814,0.012,
HEURISTICA,CLOUD,HARD,NO,100,50,3.38,1,50,0.0883,0.013,
CPLEX,CLOUD,HARD,SI,100,100,19.17,16,302,0.0201,0.65,
